Count,Name,BLDG_CH,BLDG_NUM,CITY_CODE,Layer,NUM_APTS_C,NUM_FLOORS,Position X,Position Y,Position Z,STREET_COD,STRT_TYPE,Closed,Length,Area
1,2206,םירוגמ,21,8300,2206,4,2,180063.0264,654318.7977,0.0000,108,18,,,
1,2206,םירוגמ,21,8300,2206,2,2,180071.5895,654315.1275,0.0000,108,18,,,
1,2206,םירוגמ,23,8300,2206,1,2,180050.0463,654331.2903,0.0000,108,18,,,
1,2206,םירוגמ,25,8300,2206,1,2,180027.4222,654344.5553,0.0000,108,18,,,
1,2206,םירוגמ,23,8300,2206,1,2,180041.6852,654338.0047,0.0000,108,18,,,
1,2206,םירוגמ,6,8300,2206,1,2,180131.6792,654239.5832,0.0000,107,18,,,
1,2206,םירוגמ,2,8300,2206,1,1,180180.1790,654235.1290,0.0000,107,18,,,
1,2206,םירוגמ,6,8300,2206,1,1,180124.0120,654239.0487,0.0000,107,18,,,
1,2206,םירוגמ,8,8300,2206,1,2,180102.9717,654242.6121,0.0000,107,18,,,
1,2206,םירוגמ,6,8300,2206,1,2,180138.8315,654236.3856,0.0000,107,18,,,
1,2206,םירוגמ,25,8300,2206,1,2,180011.6241,654340.5356,0.0000,108,18,,,
1,2206,םירוגמ,25,8300,2206,1,2,180018.0327,654350.2870,0.0000,108,18,,,
1,2206,םירוגמ,4,8300,2206,1,1,180152.3629,654236.7325,0.0000,107,18,,,
1,2206,םירוגמ,2,8300,2206,1,1,180170.7287,654236.5543,0.0000,107,18,,,
1,2206,םירוגמ,4,8300,2206,1,1,180160.7434,654236.5543,0.0000,107,18,,,
1,2206,םירוגמ,34,8300,2206,1,1,179986.6548,654569.2202,0.0000,137,18,,,
1,2206,םירוגמ,3,8300,2206,1,1,179948.0613,654284.7181,0.0000,106,18,,,
1,2206,םירוגמ,3,8300,2206,1,1,179949.1763,654298.0214,0.0000,106,18,,,
1,2206,םירוגמ,19,8300,2206,1,3,180094.2346,654295.8851,0.0000,108,18,,,
1,2206,םירוגמ,7,8300,2206,6,3,180176.3226,654357.2187,0.0000,105,18,,,
1,2206,םירוגמ,7,8300,2206,2,1,179965.4147,654354.9607,0.0000,106,18,,,
1,2206,םירוגמ,5,8300,2206,1,2,179958.3676,654310.6181,0.0000,106,18,,,
1,2206,םירוגמ,7,8300,2206,1,1,179955.6147,654342.9262,0.0000,106,18,,,
1,2206,םירוגמ,2,8300,2206,1,3,179821.6769,654363.7964,0.0000,1056,18,,,
1,2206,םירוגמ,4,8300,2206,1,3,179802.3849,654367.1506,0.0000,1056,18,,,
1,2206,םירוגמ,27,8300,2206,1,1,179996.0816,654366.2131,0.0000,108,18,,,
1,2206,םירוגמ,7,8300,2206,1,1,179984.1065,654344.8530,0.0000,106,18,,,
1,2206,םירוגמ,9,8300,2206,1,1,179984.7926,654361.3323,0.0000,106,18,,,
1,2206,םירוגמ,9,8300,2206,1,2,180088.3966,654577.1108,0.0000,141,18,,,
1,2206,םירוגמ,16,8300,2206,4,3,179804.7045,654388.5283,0.0000,1050,18,,,
1,2206,םירוגמ,4,8300,2206,1,3,179794.8419,654372.9197,0.0000,1056,18,,,
1,2206,םירוגמ,18,8300,2206,4,3,179828.5107,654379.0869,0.0000,1050,18,,,
1,2206,םירוגמ,40,8300,2206,4,2,180006.7750,654400.2396,0.0000,108,18,,,
1,2206,םירוגמ,8,8300,2206,1,1,180144.6065,654480.9973,0.0000,103,18,,,
1,2206,םירוגמ,21,8300,2206,1,1,180010.6683,654522.7994,0.0000,137,18,,,
1,2206,םירוגמ,5,8300,2206,1,1,180102.6800,654646.8542,0.0000,109,18,,,
1,2206,םירוגמ,7,8300,2206,1,1,180096.6704,654646.1708,0.0000,109,18,,,
1,2206,םירוגמ,3,8300,2206,1,2,180100.1309,654504.0896,0.0000,137,18,,,
1,2206,םירוגמ,8,8300,2206,1,2,180158.5590,654462.0369,0.0000,103,18,,,
1,2206,םירוגמ,5,8300,2206,1,1,180094.6406,654503.7611,0.0000,137,18,,,
1,2206,םירוגמ,8,8300,2206,1,2,180097.6224,654256.6876,0.0000,107,18,,,
1,2206,םירוגמ,4,8300,2206,4,2,180174.1660,654429.5356,0.0000,103,18,,,
1,2206,םירוגמ,4,8300,2206,72,21,179854.3240,654320.0927,0.0000,1051,18,,,
1,2206,םירוגמ,5,8300,2206,6,3,180178.4249,654332.2680,0.0000,105,18,,,
1,2206,םירוגמ,7,8300,2206,1,1,180062.3518,654452.5057,0.0000,140,18,,,
1,2206,םירוגמ,6,8300,2206,1,1,180133.5438,654436.7466,0.0000,103,18,,,
1,2206,םירוגמ,8,8300,2206,1,1,180294.2498,654327.6462,0.0000,135,18,,,
