Name,BLDG_CH,BLDG_NUM,NUM_APTS_C,NUM_FLOORS,Position X,Position Y,Position Z,STREET_COD
Attribute Definition,,,,,180120.8600,654534.2560,64.0300,
4402,,,,,180060.1700,654419.0800,62.6400,
Line,,,,,,,,
Attribute Definition,,,,,180120.8600,654535.5399,64.0300,
Line,,,,,,,,
Circle,,,,,,,,
Attribute Definition,,,,,180120.8600,654538.0903,64.0300,
Attribute Definition,,,,,180060.1700,654416.4960,62.6400,
4402,,,,,179979.4200,654482.7700,62.5300,
Line,,,,,,,,
Attribute Definition,,,,,180060.1700,654417.7799,62.6400,
Line,,,,,,,,
Circle,,,,,,,,
Attribute Definition,,,,,180060.1700,654420.3303,62.6400,
Line,,,,,,,,
Attribute Definition,,,,,180110.5000,654318.4899,59.0700,
Attribute Definition,,,,,180110.5000,654317.2060,59.0700,
4402,,,,,180011.1100,654473.2700,63.2500,
Attribute Definition,,,,,180110.5000,654321.0403,59.0700,
Line,,,,,,,,
Line,,,,,,,,
Circle,,,,,,,,
Attribute Definition,,,,,180011.1100,654471.9699,63.2500,
Attribute Definition,,,,,180011.1100,654470.6860,63.2500,
4402,,,,,180120.8600,654536.8400,64.0300,
Attribute Definition,,,,,180011.1100,654474.5203,63.2500,
Line,,,,,,,,
Line,,,,,,,,
Circle,,,,,,,,
4402,,,,,180152.0000,654539.0700,63.0100,
Line,,,,,,,,
Line,,,,,,,,
Attribute Definition,,,,,180117.1600,654586.3460,64.9900,
Circle,,,,,,,,
Attribute Definition,,,,,180117.1600,654590.1803,64.9900,
Attribute Definition,,,,,180117.1600,654587.6299,64.9900,
4402,,,,,180078.0700,654531.6300,64.9500,
Line,,,,,,,,
Line,,,,,,,,
Attribute Definition,,,,,180152.0000,654536.4860,63.0100,
Circle,,,,,,,,
Attribute Definition,,,,,180152.0000,654540.3203,63.0100,
Attribute Definition,,,,,180152.0000,654537.7699,63.0100,
Line,,,,,,,,
Attribute Definition,,,,,179979.4200,654480.1860,62.5300,
4402,,,,,180082.7900,654536.5400,64.5400,
Line,,,,,,,,
Attribute Definition,,,,,179979.4200,654481.4699,62.5300,
Line,,,,,,,,
Circle,,,,,,,,
Attribute Definition,,,,,179979.4200,654484.0203,62.5300,
Attribute Definition,,,,,180082.7900,654533.9560,64.5400,
4402,,,,,180117.1600,654588.9300,64.9900,
Line,,,,,,,,
Attribute Definition,,,,,180082.7900,654535.2399,64.5400,
Line,,,,,,,,
Circle,,,,,,,,
Attribute Definition,,,,,180082.7900,654537.7903,64.5400,
4402,,,,,180110.5000,654319.7900,59.0700,
Circle,,,,,,,,
Attribute Definition,,,,,179982.2200,654617.5103,62.9800,
Attribute Definition,,,,,179982.2200,654614.9599,62.9800,
Line,,,,,,,,
Attribute Definition,,,,,179965.2600,654567.4160,62.0400,
4402,,,,,179982.2200,654616.2600,62.9800,
Line,,,,,,,,
Circle,,,,,,,,
Attribute Definition,,,,,179983.2300,654620.2303,62.7300,
Attribute Definition,,,,,179983.2300,654617.6799,62.7300,
Line,,,,,,,,
Attribute Definition,,,,,179982.2200,654613.6760,62.9800,
4402,,,,,179983.2300,654618.9800,62.7300,
Line,,,,,,,,
Attribute Definition,,,,,179965.2600,654568.6999,62.0400,
Line,,,,,,,,
Circle,,,,,,,,
Attribute Definition,,,,,179976.8400,654602.2203,62.7300,
Line,,,,,,,,
Attribute Definition,,,,,179960.7300,654553.9499,61.8500,
Attribute Definition,,,,,179960.7300,654552.6660,61.8500,
4402,,,,,179976.8400,654600.9700,62.7300,
Line,,,,,,,,
Circle,,,,,,,,
Attribute Definition,,,,,179965.2600,654571.2503,62.0400,
Line,,,,,,,,
Attribute Definition,,,,,179976.8400,654599.6699,62.7300,
Attribute Definition,,,,,179976.8400,654598.3860,62.7300,
4402,,,,,179965.2600,654570.0000,62.0400,
Attribute Definition,,,,,180096.6300,654330.1103,59.6300,
Attribute Definition,,,,,180096.6300,654327.5599,59.6300,
Attribute Definition,,,,,180096.6300,654326.2760,59.6300,
Circle,,,,,,,,
4402,,,,,180096.6300,654328.8600,59.6300,
Line,,,,,,,,
Line,,,,,,,,
Attribute Definition,,,,,180131.5800,654307.5603,58.3200,
Attribute Definition,,,,,180131.5800,654305.0099,58.3200,
Attribute Definition,,,,,180131.5800,654303.7260,58.3200,
Circle,,,,,,,,
