Count,Name,Author,BLDG_CH,BLDG_LET_1,BLDG_LETTE,BLDG_NUM,BLDG_NUM_2,BLDG_TYPE,Block Unit,CITY_CODE,Color,Comments,Drawing Revision Number,EdgeStyleId,FaceStyleId,File Accessed,File Created,File Last Saved By,File Location,File Modified,File Name,File Size,Hyperlink,Hyperlink Base,Keywords,Layer,Linetype,Linetype Scale,Lineweight,NUM_APTS_C,NUM_BUSNS_,NUM_ENTR,NUM_FLOORS,Plot Style,Position X,Position Y,Position Z,Rotation,Scale X,Scale Y,Scale Z,STREET_C_1,STREET_COD,STRT_TYPE,Subject,Title,Total Editing Time,Unit Factor,VisualStyleId,NAME1,Closed,Fit/Smooth,Length,Material,Constant,Height,Invisible,Lock Position,Obliquing,Preset,Prompt,Style,Tag,Value,Verify,Width Factor,Area,Center X,Center Y,Center Z,Circumference,Diameter,Radius,Thickness,Angle,Delta X,Delta Y,Delta Z,End X,End Y,End Z,Start X,Start Y,Start Z,Contents,ContentsRTF,Position X1,Position Y1,Position Z1,ShowBorders,Width,Global Width
1,Polyline,,,,,,,,,,"35,35,255",,,(0),(0),18/2/2021,18/2/2021,tanya,Y:\HQ\04 Parametric Tools\Taba - Prel.Analys,18/2/2021,Composite_Clean.dwg,3179396,,,,chelkot lines,Continuous,1.0000,ByLayer,,,,,Color_160,,,,,,,,,,,,,16,,(0),,-1,,89.2853,ByLayer,,,,,,,,,,,,,481.4045,,,,,,,0.0000,,,,,,,,,,,,,,,,,,0.6500
1,Polyline,,,,,,,,,,"35,35,255",,,(0),(0),18/2/2021,18/2/2021,tanya,Y:\HQ\04 Parametric Tools\Taba - Prel.Analys,18/2/2021,Composite_Clean.dwg,3179396,,,,chelkot lines,Continuous,1.0000,ByLayer,,,,,Color_160,,,,,,,,,,,,,16,,(0),,-1,,91.6903,ByLayer,,,,,,,,,,,,,525.0986,,,,,,,0.0000,,,,,,,,,,,,,,,,,,0.6500
1,Polyline,,,,,,,,,,"35,35,255",,,(0),(0),18/2/2021,18/2/2021,tanya,Y:\HQ\04 Parametric Tools\Taba - Prel.Analys,18/2/2021,Composite_Clean.dwg,3179396,,,,chelkot lines,Continuous,1.0000,ByLayer,,,,,Color_160,,,,,,,,,,,,,16,,(0),,-1,,102.2879,ByLayer,,,,,,,,,,,,,232.7933,,,,,,,0.0000,,,,,,,,,,,,,,,,,,0.6500
1,Polyline,,,,,,,,,,"35,35,255",,,(0),(0),18/2/2021,18/2/2021,tanya,Y:\HQ\04 Parametric Tools\Taba - Prel.Analys,18/2/2021,Composite_Clean.dwg,3179396,,,,chelkot lines,Continuous,1.0000,ByLayer,,,,,Color_160,,,,,,,,,,,,,16,,(0),,-1,,184.0630,ByLayer,,,,,,,,,,,,,1752.7887,,,,,,,0.0000,,,,,,,,,,,,,,,,,,0.6500
1,Polyline,,,,,,,,,,"35,35,255",,,(0),(0),18/2/2021,18/2/2021,tanya,Y:\HQ\04 Parametric Tools\Taba - Prel.Analys,18/2/2021,Composite_Clean.dwg,3179396,,,,chelkot lines,Continuous,1.0000,ByLayer,,,,,Color_160,,,,,,,,,,,,,16,,(0),,-1,,89.5635,ByLayer,,,,,,,,,,,,,489.8855,,,,,,,0.0000,,,,,,,,,,,,,,,,,,0.6500
1,Polyline,,,,,,,,,,"35,35,255",,,(0),(0),18/2/2021,18/2/2021,tanya,Y:\HQ\04 Parametric Tools\Taba - Prel.Analys,18/2/2021,Composite_Clean.dwg,3179396,,,,chelkot lines,Continuous,1.0000,ByLayer,,,,,Color_160,,,,,,,,,,,,,16,,(0),,-1,,68.2605,ByLayer,,,,,,,,,,,,,124.5327,,,,,,,0.0000,,,,,,,,,,,,,,,,,,0.6500
1,Polyline,,,,,,,,,,"35,35,255",,,(0),(0),18/2/2021,18/2/2021,tanya,Y:\HQ\04 Parametric Tools\Taba - Prel.Analys,18/2/2021,Composite_Clean.dwg,3179396,,,,chelkot lines,Continuous,1.0000,ByLayer,,,,,Color_160,,,,,,,,,,,,,16,,(0),,-1,,87.7020,ByLayer,,,,,,,,,,,,,490.4286,,,,,,,0.0000,,,,,,,,,,,,,,,,,,0.6500
1,Polyline,,,,,,,,,,"35,35,255",,,(0),(0),18/2/2021,18/2/2021,tanya,Y:\HQ\04 Parametric Tools\Taba - Prel.Analys,18/2/2021,Composite_Clean.dwg,3179396,,,,chelkot lines,Continuous,1.0000,ByLayer,,,,,Color_160,,,,,,,,,,,,,16,,(0),,-1,,204.1094,ByLayer,,,,,,,,,,,,,2396.4458,,,,,,,0.0000,,,,,,,,,,,,,,,,,,0.6500
1,Polyline,,,,,,,,,,"35,35,255",,,(0),(0),18/2/2021,18/2/2021,tanya,Y:\HQ\04 Parametric Tools\Taba - Prel.Analys,18/2/2021,Composite_Clean.dwg,3179396,,,,chelkot lines,Continuous,1.0000,ByLayer,,,,,Color_160,,,,,,,,,,,,,16,,(0),,-1,,90.6615,ByLayer,,,,,,,,,,,,,166.7145,,,,,,,0.0000,,,,,,,,,,,,,,,,,,0.6500
1,Polyline,,,,,,,,,,"35,35,255",,,(0),(0),18/2/2021,18/2/2021,tanya,Y:\HQ\04 Parametric Tools\Taba - Prel.Analys,18/2/2021,Composite_Clean.dwg,3179396,,,,chelkot lines,Continuous,1.0000,ByLayer,,,,,Color_160,,,,,,,,,,,,,16,,(0),,-1,,121.9410,ByLayer,,,,,,,,,,,,,813.4209,,,,,,,0.0000,,,,,,,,,,,,,,,,,,0.6500
1,Polyline,,,,,,,,,,"35,35,255",,,(0),(0),18/2/2021,18/2/2021,tanya,Y:\HQ\04 Parametric Tools\Taba - Prel.Analys,18/2/2021,Composite_Clean.dwg,3179396,,,,chelkot lines,Continuous,1.0000,ByLayer,,,,,Color_160,,,,,,,,,,,,,16,,(0),,-1,,130.0050,ByLayer,,,,,,,,,,,,,874.0352,,,,,,,0.0000,,,,,,,,,,,,,,,,,,0.6500
1,Polyline,,,,,,,,,,"35,35,255",,,(0),(0),18/2/2021,18/2/2021,tanya,Y:\HQ\04 Parametric Tools\Taba - Prel.Analys,18/2/2021,Composite_Clean.dwg,3179396,,,,chelkot lines,Continuous,1.0000,ByLayer,,,,,Color_160,,,,,,,,,,,,,16,,(0),,-1,,119.8523,ByLayer,,,,,,,,,,,,,851.6950,,,,,,,0.0000,,,,,,,,,,,,,,,,,,0.6500
1,Polyline,,,,,,,,,,"35,35,255",,,(0),(0),18/2/2021,18/2/2021,tanya,Y:\HQ\04 Parametric Tools\Taba - Prel.Analys,18/2/2021,Composite_Clean.dwg,3179396,,,,chelkot lines,Continuous,1.0000,ByLayer,,,,,Color_160,,,,,,,,,,,,,16,,(0),,-1,,321.9083,ByLayer,,,,,,,,,,,,,3590.8578,,,,,,,0.0000,,,,,,,,,,,,,,,,,,0.6500
1,Polyline,,,,,,,,,,"35,35,255",,,(0),(0),18/2/2021,18/2/2021,tanya,Y:\HQ\04 Parametric Tools\Taba - Prel.Analys,18/2/2021,Composite_Clean.dwg,3179396,,,,chelkot lines,Continuous,1.0000,ByLayer,,,,,Color_160,,,,,,,,,,,,,16,,(0),,-1,,186.0693,ByLayer,,,,,,,,,,,,,270.0987,,,,,,,0.0000,,,,,,,,,,,,,,,,,,0.6500
1,Polyline,,,,,,,,,,"35,35,255",,,(0),(0),18/2/2021,18/2/2021,tanya,Y:\HQ\04 Parametric Tools\Taba - Prel.Analys,18/2/2021,Composite_Clean.dwg,3179396,,,,chelkot lines,Continuous,1.0000,ByLayer,,,,,Color_160,,,,,,,,,,,,,16,,(0),,-1,,132.9203,ByLayer,,,,,,,,,,,,,1080.9097,,,,,,,0.0000,,,,,,,,,,,,,,,,,,0.6500
